Original_Review,측면 및 감성 추출,label
"두번째 방문이에요 공간 예쁘고 시그니처 메뉴있어서 좋아요","공간편의시설(긍정), 분위기감성(긍정)",000000110000
"캠핑장 같은 느낌으로 생각보다 되게 아늑했어요! 벨지안 초콜릿 우유는 당도 선택 가능했는데 달달한게 먹고 싶어서 57 선택했고요","커피음료(긍정), 분위기감성(긍정)",100000010000
"인테리어도 너무 이쁘고 빵맛집 인정해요 토마토바질식빵이랑 토스트 넘 맛있게 먹었어요 트러플스프도 주문하셔서 찍어드세용","베이커리빵(긍정), 분위기감성(긍정)",010000010000
"베이글 새로나와서 먹었는데 맛있어요","베이커리빵(긍정)",010000000000
"분위기도 부담스럽지않고 좋습니다 또 올듯","분위기감성(긍정)",000000010000
"성수에 분위기 좋은 와인바입니다. 아이스크림 가격도 괜찮고, 특히 크림블루치즈 아이스크림이 되게 색다르게 맛있습니다. 루프탑도 있어서 선선한 날씨에 방문하기 좋을 것 같습니다.","기타디저트(긍정), 공간편의시설(긍정), 분위기감성(긍정), 가격가성비(긍정)",000001110100
"너무 맛있거 예뻐요 데이트 하기 너무 좋은 곳입니다","분위기감성(긍정)",000000010000
"일하다가 포장해 와 커피마셨네요. 시원해서 더 좋았어요.","커피음료(긍정), 선물포장(긍정)",100000000010
"나만 알고 싶은 아지트 같은 공간 러프 포레스트 말차초코 음료인데... 러프라떼 (아인슈페너) 크림이 쫀쫀하고 달달합니다. 커피도 너무 쓰지 않고 맛있어요!!... 치즈케이크 꾸덕하니 맛있어요... 무엇보다도 친절하셔서 좋아요!!! 서비스 최고","커피음료(긍정), 케이크(긍정), 공간편의시설(긍정), 분위기감성(긍정), 서비스(긍정)",101000111000
"지하에 있어요 분위기는 조용해서 대화하기 좋았어요","분위기감성(긍정), 혼잡도_웨이팅(긍정)",000000010001
"맛있고 공간도 이쁘고 베이커리 저렴한 것만 더 메뉴에 추가되면 좋을 거 같아요","베이커리빵(중립), 공간편의시설(긍정), 분위기감성(긍정)",030000110000
"언제나 와도 항상 너무너무 맛있어요... 망고빙수도 도른맛","빙수과일(긍정), 혼잡도_웨이팅(부정)",000010000002
"쑥 스콘 진짜 꼬소해요 꼬숩달달 환장하는데 진짜 맛있아요 여기는 타르트도 맛있는데 베이커리까지 맛있어서 큰일.","베이커리빵(긍정), 쿠키구움과자(긍정), 기타디저트(긍정)",010101000000
"좋아요 넓어서 자리가 여유가 있어좋네요","공간편의시설(긍정), 혼잡도_웨이팅(긍정)",000000100001
"탐앤탐스! 십여년만인가요... 24시였네요 여행 예약해야 되는데 집에선 계속 딴짓해서 늦게 나와서 잘하고 갑니다","공간편의시설(긍정)",000000100000
"크리스마스 때 오고 너무 맛있어서 또 왔어요 여전히 맛있습니당 다음에도 올게요 홍홍홍","대상 모호(긍정)",000000000000
"잼 넘 맛있어요 달달하면서도 과일 특유의 상큼함이 살아있어서 빵에 발라 먹기 좋아요 가게도 깔끔해서 기분 좋게 구매했습니다","베이커리빵(긍정), 공간편의시설(긍정)",010000100000
"분위기도 너무 좋고 가격도 좋고 사장님도 친절하시고 커피랑 밀크티도 맛있고,..... 하 리뷰 안 쓰고 싶은데 양심에 찔려서 씁니다 시간대 다양하게 가세요 몰리면 제가 못 감","커피음료(긍정), 서비스(긍정), 가격가성비(긍정), 혼잡도_웨이팅(부정)",100000001102
"분위기도 좋고 파스타도 맛있었어요! 로제 파스타가 최애예용","분위기감성(긍정)",000000010000
"가격도 착한편 종류도많은데 우선 몇가지 소금빵담백 무화과캄파뉴치아바타 다 맛있다... 건너편건물카페에서 시식할때 1000원할인도해준답니다","베이커리빵(긍정), 가격가성비(긍정)",010000000100
"굉장히 친절하시고 유니크한 메뉴가 많았어요! 생과일 타르트류가 많고 신선해보여요. 4개 박스도 준비되어 있고 선물용으로도 좋겠어요 )","기타디저트(긍정), 서비스(긍정), 선물포장(긍정)",000001001010
"점심엔 커피가1000원할인됩니다. 빵종류가많아서좋아요","커피음료(긍정), 베이커리빵(긍정), 가격가성비(긍정)",110000000100
"줄 서 있어서 궁금해서 먹어봤어요! 맛있네요 )","대상 모호(긍정), 혼잡도_웨이팅(부정)",000000000002
"커피맛 너무 좋아요 분위기 굿!","커피음료(긍정), 분위기감성(긍정)",100000010000
"에그타르트 좋아하는데 가성비 있는 팩이있어서 사러왔어요 너무 맛있어요 추천!","쿠키구움과자(긍정), 가격가성비(긍정)",000100000100
"작은 사이즈의 베이글이라 여러 종류를 먹을 수 있다는게 좋았어요 !","베이커리빵(긍정)",010000000000
"모카베이글 촉촉하고 너무 맛있어요! 버터소금라떼도 위에 크림이 적당히 달달하고 부드러워서 맛있습니당 매장도 깔끔하니 대회하기 좋아요!","커피음료(긍정), 베이커리빵(긍정), 공간편의시설(긍정)",110000100000
"귀염뽀짝한 미니케이크 귀엽고 맛있어요! 딸기 상태도 좋고 재료 좋은 거 쓰는 게 느껴지더라고요! 도시락 케이크 너무 귀여움","케이크(긍정)",001000000000
"디저트 뜨시게 데워주어서 조아요 ,,","기타디저트(긍정), 서비스(긍정)",000001001000
"가나슈 케이크 달달하니 괜찮았어요. 아메리카노랑 잘 어울려요 오랜만에 집중할 일이 있어 들렸는데 무난했습니다","커피음료(긍정), 케이크(긍정), 분위기감성(긍정)",101000010000
"커피가 너무 맛있어여 인테리어도 멋지고 분위가 좋아요","커피음료(긍정), 분위기감성(긍정)",100000010000
"인테리어 좋고 음식 맛있어요","분위기감성(긍정)",000000010000
"매장이 아늑하고 예뻐요. 굉장히 유니크해서 방문하시는걸 추천합니다 !!","분위기감성(긍정)",000000010000
"평일에 가서 사람도 없었고 조용해서 좋았어요!","혼잡도_웨이팅(긍정)",000000000001
"후추소금빵 그리고 다른 빵들도 다 맛있어요. 친절하고 좋아요!","베이커리빵(긍정), 서비스(긍정)",010000001000
"분위기가 좋고 커피랑 크로플도 맛있어여) 또올게요용","커피음료(긍정), 기타디저트(긍정), 분위기감성(긍정)",100001010000
"추워서 예쁜 카페 찾다가 우연히 들어왔는데 깔끔하고 메뉴들도 너무 맛있고 예뻤어요","분위기감성(긍정)",000000010000
"야외 테라스만 예뻐요. 커피맛은..","커피음료(부정), 분위기감성(긍정)",200000010000
"오믈렛이랑 팬케이크 맛잇엇습니당","베이커리빵(긍정)",010000000000
"성수역 바로 아래있어서 접근성좋고 잠시 커피한잔하기도 좋아요.","커피음료(긍정), 공간편의시설(긍정)",100000100000
"맛잇엇어요! 부드롭고. 선물용으로 주문하려고 다시 왓어용","대상 모호(긍정), 선물포장(긍정)",000000000010
"너무 기대돼요 인스타에서만 보던 버터 쿠키..","쿠키구움과자(긍정)",000100000000
"직원분들도 친절하시고 좋은 경험이었어요!!","서비스(긍정)",000000001000
"오늘 급히 친구들만나서 맛있는 브레드와 커피를 마시고 싶어서 왔어요... 빵 맛이 너무 맛있어요몽블랑도 맛있고","커피음료(긍정), 베이커리빵(긍정)",110000000000
"당일에 만든 빵 너무 맛있어요. 좋은 재료 맛도 느껴지고 가격도 최고.. 소금빵, 바게트, 치아바타, 잠봉뵈르 추천해요!!","베이커리빵(긍정), 가격가성비(긍정)",010000000100
"지나가다가 예뻐보여서 들렸는데 컨셉이 너무 확실하고 예쁜 카페였어요!! 딸기티라미수 최고,, 안에 셀프스튜디오도 있는데 센스 최고","케이크(긍정), 분위기감성(긍정)",001000010000
"가봤던 성수 카페 중 가장 트렌디한 카페,, 말차라떼 생각보다 진해서 너무 맛있었음","커피음료(긍정), 분위기감성(긍정)",100000010000
"인테리어도 깔끔하고 너무 맛있어요!","분위기감성(긍정)",000000010000
"불고기 베이글, 쪽파 베이글, 갈릭 베이글이 최애에요! 인테리어도 예쁘고 빵도 맛있어서 성수 오면 꼭 들리는 곳입니다!","베이커리빵(긍정), 분위기감성(긍정)",010000010000
"분위기 좋네요. 같이 오는 분도 특별한 인연이 되고 초코푸딩 너무 맛있어요","기타디저트(긍정), 분위기감성(긍정)",000001010000
"성수 사는 친구의 추천으로 온 카페인데, 분위기도 너무 좋고 넓어서 소음도 크지않아 좋아요 디저트는 다 넘 기여워요..","기타디저트(긍정), 공간편의시설(긍정), 분위기감성(긍정), 혼잡도_웨이팅(긍정)",000001110001
"커피도 마시고 강아지들 구경하는 소소한 재미도 있어요","커피음료(긍정)",100000000000
"성수동 베이커리 찐 맛집입니다!! 진짜 추천드려용 특히 크렘뷔렐레 치즈파이 최고임!","기타디저트(긍정)",000001000000
"서울숲에서 데이트 후 찾은 카페 정말 만족했어요 라떼도 맛있고 분위기도 좋아요","커피음료(긍정), 분위기감성(긍정)",100000010000
"츄러스 도넛 처음먹어보는는데 너무 맛있어요! 크리스마스 트리도 예뻐요!!","기타디저트(긍정), 분위기감성(긍정)",000001010000
"건너편 무모카페 가려다가 웨이팅 너무 심해서 들어왔는데 갤러리카페 너무 좋은데여...?","분위기감성(긍정), 혼잡도_웨이팅(긍정)",000000010001
"진짜 아인슈페너 맛집이에요 딸기 케익도 엄청 맛있고 아늑하고 분위기...","커피음료(긍정), 케이크(긍정), 분위기감성(긍정)",101000010000
"맛있어요 사람도 많고 못 먹어본 맛은 다음에 와서 또 먹어보고 싶어요!","대상 모호(긍정), 혼잡도_웨이팅(부정)",000000000002
"잼을 활용한 음식들이 다 너무 제 취향이었어요 또올게요!","대상 모호(긍정)",000000000000
"다양한 맛을 조금씩 다 맛볼 수 있도록 찹쌀떡 크기로 만든 베이글의 아이디어도 좋고 가격도 덜 부담되어서 좋은 것 같아요. 에브리띵 베이글 좋아하는데 살짝 간이 있지만 쫀득하고 깔끔한 식감이 맛있네요.","베이커리빵(긍정), 가격가성비(긍정)",010000000100
"오랜만에 성수 와서 디저트가 먹고싶어서 찾다가 방문한 네모네 진짜 그냥 모든게 네모에요 근데 다저트랑 음료 맛은 당연히 너무 맛있고 왜 항상 사람들이 많이 오는지 알겠어요","커피음료(긍정), 기타디저트(긍정), 분위기감성(긍정), 혼잡도_웨이팅(부정)",100001010002
"가격이 조금 높긴 하지만 간만에 편하게 쉴수 있는 공간이었네요.","공간편의시설(긍정), 가격가성비(부정)",000000100200
"친구들이랑 놀러 왔습니당. 서울숲이랑 가깝고 주변에 볼거리도 많아용. 카페안에 넓고 쾌적합니다","공간편의시설(긍정)",000000100000
"케이크 종류도 많고 커피 원두 종류도 고를 수 있어서 좋네용 ! 자리도 생각보다 많았어용 !!","커피음료(긍정), 케이크(긍정), 공간편의시설(긍정)",101000100000
"디올 건물뷰 볼 수 있어요 내부 깔끔했어요 화장지 다 떨어져서 아쉬웠어요 달라 하니 티슈 세 조각 주시는 게 아쉬웠어요","공간편의시설(부정), 분위기감성(긍정), 서비스(부정)",000000212000
"대로변에서 우연히 보고 들어왔는데 비밀스럽고 아늑해요. 커피도 쿠키도 다 맛있네요","커피음료(긍정), 쿠키구움과자(긍정), 분위기감성(긍정)",100100010000
"어두운 분위기에 조명과 모니터 장식등을 활용한 인테리어 센스가 멋져서 좋았어요... 자두밀크티가 정말 새로웠어요 내부가 넓진 않은데 사진도 예쁘게 나오고","커피음료(긍정), 공간편의시설(중립), 분위기감성(긍정)",100000310000
"분위기 아늑하고 애기하기 좋고 인테리어 고즈넉한데 디저트까지 맛있어요","기타디저트(긍정), 분위기감성(긍정)",000001010000
"자리마다 콘센트도 있고, 12인용 책상도 많이 구비되어있어 일하고 공부하기 좋을거같요! 그라니따 먹었는데 레몬 샤베트에 에스프레소 조합이 넘나 맛있었용!","커피음료(긍정), 공간편의시설(긍정)",100000100000
"콜드브루 맛있어요 ) 자주 방문하는 곳이에요... 조금 음료가 늦게 나온 것 같다고 디저트 챙겨주시는 섬세함 공간이 주는 매력도 짱이에요!","커피음료(긍정), 기타디저트(긍정), 공간편의시설(긍정), 서비스(긍정)",100001101000
"아사이볼이 먹고싶어서 방문했는데 맛있어요!","기타디저트(긍정)",000001000000
"역시나 맛있고 분위기 좋아요. 화장실은 같은 건물 2층에 있는데... 화장실 가는길이 맞나 긴가민가했습니다","커피음료(긍정), 공간편의시설(부정), 분위기감성(긍정)",100000210000
"너무 더워서 돌아다니다가 들어왔는데 너무 쾌적하고 음식도 빨리나오고 넓고 좋았습니다!","공간편의시설(긍정), 서비스(긍정)",000000101000
"천상가옥 시그니처 커피랑 녹차크림라떼에 레몬파운드 시켰는데... 파운드 케이크도 크기가 커서 둘이서 하나만 시켜도 충분할 것 같습니다 안에 좌석도 많아서","커피음료(긍정), 쿠키구움과자(긍정), 공간편의시설(긍정), 분위기감성(긍정)",100100110000
"좋아요 또 이용할께요 너무 분위기가 좋고 맛있어여","분위기감성(긍정)",000000010000
"작고 귀여운, 일본 분위기가 물씬 풍기는 베이커리예요. 특히 치즈타르트가 좋았어요!","기타디저트(긍정), 분위기감성(긍정)",000001010000
"특히 아메리카노 맛이 좋다고 하셨고, 베베 복숭아 케이크가 예쁘고 맛있어서 만족하셨네요.","커피음료(긍정), 케이크(긍정), 분위기감성(긍정)",101000010000
"음료도 맛있고 디저트 티라미수도 진짜 맛있어용! 게다가 분위기는 덤.. 매장내부가 넓은편은 아니지만 좌석간 거리가 있어서 대화하기 좋았습니다","커피음료(긍정), 케이크(긍정), 공간편의시설(긍정), 분위기감성(긍정)",101000110000
"케이크랑 커피가 맛있었어요!! 자리는 좁다고 느낄 수 있지먼 아늑했어요","커피음료(긍정), 케이크(긍정), 공간편의시설(부정), 분위기감성(긍정)",101000210000
"커피랑 샌드위치가 맛있었어요 ! 인테리어가 전시회온거 같아요","커피음료(긍정), 베이커리빵(긍정), 분위기감성(긍정)",110000010000
"매장이 넓고 직원들이 친절해요","공간편의시설(긍정), 서비스(긍정)",000000101000
"크리스마스 Mood 한가득 분위기도 좋은 커피도 맛있어요 포토존도 많고 사진도 잘 나와서 좋아요)","커피음료(긍정), 분위기감성(긍정)",100000010000
"바삭바삭하면서 은은하게 달고 고소하고 중독성 있는 맛... 커피도 코넛아인슈패너 크림라떼 둘다 맛있고 인생라떼!","커피음료(긍정), 베이커리빵(긍정)",110000000000
"탄맛과 신맛 여러 맛이 나네요","커피음료(중립)",300000000000
"항상 맛있어요 그리고 카페 분위기도 너무 좋습니다","분위기감성(긍정)",000000010000
"한판 뚝딱햇어요 딸기가 기가막히게 맛나요!","케이크(긍정)",001000000000
"카페 분위기가 넘 좋고 직원분들도 친절하세요 음료도 가성비 좋고 달달했어요","커피음료(긍정), 분위기감성(긍정), 서비스(긍정), 가격가성비(긍정)",100000011100
"커피도 너무 향이 좋고 디저트케잌도 이쁘고 너무 맛있어요","커피음료(긍정), 케이크(긍정)",101000000000
"너어어어어어어무 맛있어요! 과일이랑 찹쌀떡이랑 너무 잘어울렸어요 굿굿!!","기타디저트(긍정), 가격가성비(중립)",000001000300
"다른 곳에서 볼수 없는 메뉴들이 있어요. 근데 좀 많이 달았어요.. 고구마파니니 고구마 통으로 들어가요. 저희는 파니니보다 샌드위치가 나았던것 같아요.","베이커리빵(중립)",030000000000
"디저트맛집이에요! 와보고싶었던곳 와서 넘좋아요 매장도넓어요","기타디저트(긍정), 공간편의시설(긍정)",000001100000
"음료도 맛있고 디저트도 맛있어요","커피음료(긍정), 기타디저트(긍정)",100001000000
"생각없이 들어왔는데 너무 맛있고 다시방문할정도로 아이들도 좋아해요 굿굿","대상 모호(긍정)",000000000000
"위스키가 들어간 아이스크림 너무 신기해요. 어른이 된 느낌 최고! 분위기도 너무 좋아요!","기타디저트(긍정), 분위기감성(긍정)",000001010000
"커피맛 좋아요 비싼 이유가 있나봐요","커피음료(긍정), 가격가성비(중립)",100000000300
"인테리어 이쁘고 깔끔해요 빵도맛있어료 )","베이커리빵(긍정), 분위기감성(긍정)",010000010000
"다양하게 커피를 즐길 수 있어써 좋았네요","커피음료(긍정)",100000000000
"망고 빙수 양도 많고 너무 맛있었용 커피랑 티 음료도 깔끔하고 공간도 쾌적하고 좋습니당","커피음료(긍정), 빙수과일(긍정), 공간편의시설(긍정)",100010100000
"케이크가 맛있고 커피도 맛있어용","커피음료(긍정), 케이크(긍정)",101000000000
"딱 한 숟가락 뜨자마자 느껴지는 쫀득함 . . . 솔티 밀크 위에 피칸도 올려주셔서 씹는 맛도 좋구 발로나 초코 완전 찐하구.. 레몬 소르베로 향긋하구","기타디저트(긍정)",000001000000
"뷰 때문에 한 번 가보면 재밌어요 생각하시는 시내뷰 커피맛은 평범했어요 다소 진해요 커피가 커피보다는 뷰","커피음료(중립), 분위기감성(긍정)",300000010000
"공간멋지구 여유넘구 서비스조콩","공간편의시설(긍정), 서비스(긍정)",000000101000
"들어갔을 때 소품도 많고 아기자기하게 잘 되어있어서 찍기 좋았어요!! 그리고 직원분들도 친절하게 잘 설명해주셔서","분위기감성(긍정), 서비스(긍정)",000000011000
"비싸고 작지만 맛있어요. 딸기가 가득 들어있고 많이 달지 않아서 좋아요.","케이크(긍정), 가격가성비(부정)",001000000200
"뭐야 왤케 맛있어 알베르토 고마워요 그대의 추첨으로 옴","대상 모호(긍정)",000000000000
"술 들어가서 되게 특이한데 맛있어요!","기타디저트(긍정)",000001000000
"다먹어갈때쯤 샌드위치에 파스타건더기좀 넣어서 먹으면 짱맛이었어요... 파스타에같이있던 식빵두조각도 먹어보니 우유맛도느껴지는거보니 그냥식빵사도 맛있을거같아요!","베이커리빵(긍정)",010000000000
"가성비중하 맛어스프레소 추천 장소몇개 테이블 없음 재방문굳이","커피음료(긍정), 공간편의시설(부정), 가격가성비(부정)",100000200200
"우유 생크림이 제일 맛있어요!","대상 모호(긍정)",000000000000
"무화과 크림치즈 바게트 맛 잊지못해 겨우 겟 했는데 아니 애플파이가 도른놈이었음..","베이커리빵(긍정)",010000000000
"인테리어도 예쁘고 무엇보다 맛이 너무 좋음. 통유리창 창가자리 햇살맛집... 다양한 과일잼 컴포트도 판매하고 있어서","베이커리빵(긍정), 분위기감성(긍정)",010000010000
"베이글 맛집이라고 해서 왔어요! 직원분들 친절하시고 매장도 깨끗해용","베이커리빵(긍정), 공간편의시설(긍정), 서비스(긍정)",010000101000
"뷰가 좋고 커피가 크로아상 맛있어요!!","커피음료(긍정), 베이커리빵(긍정), 분위기감성(긍정)",110000010000
"인스타 갬성 카페에요! 넓어서 좋고 케이크도 맛있어요!","케이크(긍정), 공간편의시설(긍정), 분위기감성(긍정)",001000110000
"두시간이 너무 짧긴 해도 재밌어요","분위기감성(긍정)",000000010000
"한입 뜨고 감동 넘 맛있어요!! 모든 메뉴가 맛이 좋아보여서 또 재방문할게요","대상 모호(긍정)",000000000000
"메뉴가 엄청 다양하고 인테리어도 깔끔하게 잘 되어있어요!","분위기감성(긍정)",000000010000
"도넛 너무맛있구! 커피도맛있어요 라즈베리도넛최애!!!","커피음료(긍정), 기타디저트(긍정)",100001000000
"성수동 왔는데 유명하다길래 들렀어요!!! 맛있네요","대상 모호(긍정)",000000000000
"코베 흥해랏! 맛있고 일찍열어서 좋아요.","베이커리빵(긍정), 서비스(긍정)",010000001000
"직원이 제 이름을 확인하더니 이름이 비슷해 헷갈렸다며 앞 손님을 불러 케이크를 돌려받아 곧바로 저한테 건네주시더라구요. 실물 확인이나 재포장 없이 그대로 전달주시는게.. 많이 실망스러웠습니다.","서비스(부정)",000000002000
"직원분 친절하시고 분위기도 좋고 디저트도 맛있고 커피도 맛있어요)","커피음료(긍정), 기타디저트(긍정), 분위기감성(긍정), 서비스(긍정)",100001011000
"이번이 두 번째 방문이에요! 항상 맛있어요!","대상 모호(긍정)",000000000000
"바노피파이 좋아하는데 있는 줄 모르고 방문했어서 서프라이즈였습니당 피버바 스무디는 당도를 뺄 수 있어서 좋았고 카페가 조명이 살짝 어두운 점도 좋았어용","커피음료(긍정), 케이크(긍정), 분위기감성(긍정)",101000010000
"매장 너무 예쁘고 음료 맛있어요 굿굿","커피음료(긍정), 분위기감성(긍정)",100000010000
"환경을 생각하는 마음으로... 아주 저렴한 가격에 퀄리티 좋은 커피를 맛볼 수 있어서 좋았음. 특히 문이 없어 개방감이 일품이며... 멍 때리기 좋은 곳임.","커피음료(긍정), 공간편의시설(긍정), 분위기감성(긍정), 가격가성비(긍정)",100000110100
"너무 시끄럽고 사람많아서 커피를 즐길환경이 안되요","혼잡도_웨이팅(부정)",000000000002
"커피두 맛있고 분위기도 조아욤 또 오고싶어요","커피음료(긍정), 분위기감성(긍정)",100000010000
"여기 크로플 너무 맛있어요 오늘 빼빼로데이라 사장님이 서비스로 주심 또올게요!","기타디저트(긍정), 서비스(긍정)",000001001000
"디저트가 너무 예쁘고 무엇보다 맛있네용","기타디저트(긍정)",000001000000
"Nola Float , 아이스 아메리카노 주문했어요! 아메리카노는 무난하고 아이스크림커피는 콜드브루라떼도 맛있고 위에 있는 아이스크림도 맛있어요!","커피음료(긍정), 기타디저트(긍정)",100001000000
"상상이상으로 맛이 없어요. 케이크 2개 주문했는데 커피도 강제로 1인1잔을 하라고 하더라고요... 동물성 생크림이 맞나여? 전체적으로 느끼함이 너무 강해서...","커피음료(부정), 케이크(부정), 서비스(부정)",202000002000
"너무 맛있어요 퐁신퐁신 구름 위를 걷는 것 같은 식감이에요! 다음에 또 먹으러 올게요","대상 모호(긍정)",000000000000
"애플망고 러버인데 양도 많이 주고 좋아여 자리도 넉넉히 있고 크로플도 있어서 좋았어영","기타디저트(긍정), 빙수과일(긍정), 공간편의시설(긍정)",000011100000
"서울숲 겔러리아포레 일층에 위치한 브런치카페. 맛 괜찮고 애견동반 가능.","베이커리빵(긍정), 공간편의시설(긍정)",010000100000
"두 번째 방문! 와인에 잘 페어링되는 아이스크림도 최고에요!","기타디저트(긍정)",000001000000
"구경거리 많고 커피 맛있어요","커피음료(긍정), 분위기감성(긍정)",100000010000
"에스프레소 콤파냐 달다아아알하구 맛있습니다.","커피음료(긍정)",100000000000
"성수 방문할 때마다 들리는 좋아하는 카페 다양한 라떼 맛도 다 취향저격이고... 특히 말차라떼는 진하고 고소해서 마음에 들어요","커피음료(긍정)",100000000000
"여기 진짜 라떼맛집이에요! 초당 옥수수 라떼가 정말 특이한데 맛있네요 소금빵도 겉바속촉으로 맛있어요! 인테리어도 힙하고 분위기 정말 멋진 곳이에요!","커피음료(긍정), 베이커리빵(긍정), 분위기감성(긍정)",110000010000
"맛이 보통. 그냥 먹기만해요","대상 모호(중립)",000000000000
"케이크가 맛있어용 딸기라떼도 넘 마싯어용","커피음료(긍정), 케이크(긍정)",101000000000
"망고 빙수 양 엄청 많고 맛있어요!! 진짜 네명이서 먹어도 될 정도..!!","빙수과일(긍정), 가격가성비(긍정)",000010000100
"디저트 맛나요 평일 낮에도 사람 많아요","기타디저트(긍정), 혼잡도_웨이팅(부정)",000001000002
"바질 비게트가 정말 맛있어요! 차 종류도 따라마시게 나와서 좋았습니다","커피음료(긍정), 베이커리빵(긍정)",110000000000
"계절 과일 디저트를 찾아 왔어요! 1층과 지하로 된 매장이라서... 지하 공간에서도 빛이 내려오는 야외테라스가 있어서 분위기 있고 쾌적하게 이용할 수 있었습니다","기타디저트(긍정), 공간편의시설(긍정), 분위기감성(긍정)",000001110000
"미국 현지의 브런치를 가성비좋게 분이기는 더 좋게 먹을수 있는곳","베이커리빵(긍정), 분위기감성(긍정), 가격가성비(긍정)",010000010100
"바리스타님들이 매번 커피를 너무 맛있게 내려주셔서 제 미뢰가 아주 행복한 요즘입니다.","커피음료(긍정), 서비스(긍정)",100000001000
"근처 최애 빵집 중 하나입니다! 빵이 되게 맛있어요!! 모든 빵이 다 맛있지만 저는 소금빵이 최애입니다!","베이커리빵(긍정)",010000000000
"장난스럽게 지은 카페명에 그렇지 못한 고퀄 음식들","대상 모호(긍정)",000000000000
"평일인데도 불구하고 사람 진짜 많았습니다!!! 직원분들 다 너무 친절하시고 베이글 종류도 정말 많아서 놀랬고","베이커리빵(긍정), 서비스(긍정), 혼잡도_웨이팅(부정)",010000001002
"대화와 차 마시기에 매우 좋은 공간입니다.","커피음료(긍정), 분위기감성(긍정)",100000010000
"초코소금빵?이 제 취향을 저격했어요 다른 빵들도 맛있고 친절하시고 좋아요","베이커리빵(긍정), 서비스(긍정)",010000001000
"망고랑 복숭아 셔벗 주문했는데 진짜 너무 맛있었어요! 양도 넉넉하고 비주얼도 예뻐서 기분까지 좋아졌어요.","기타디저트(긍정), 분위기감성(긍정), 가격가성비(긍정)",000001010100
"기념일이면 앞으로 여기서 케이크 주문 하려고요. 크리스마스 케이크 주문했는데 너무 예뻐서 기분이 절로 좋아지네요.","케이크(긍정), 분위기감성(긍정)",001000010000
"에어컨 안틀어서 그런지 들어올때 공기도 탁하고, 후끈했어요,,, 특히 공기순환 안되서 그런지 안좋은 냄새가 문열자마자 훅 났어요,,,","공간편의시설(부정)",000000200000
"디저트와 음료가 예쁘고 맛있어용","커피음료(긍정), 기타디저트(긍정), 분위기감성(긍정)",100001010000
"애견동반도 되고 분위기가 너무 좋아요","공간편의시설(긍정), 분위기감성(긍정)",000000110000
"너무 맛있게 잘 먹었습니다! 주문 받아주신 분도 너무 유쾌하셔서 카페에 있는동안 너무 행복한 시간을 보냈습니다!","서비스(긍정), 분위기감성(긍정)",000000011000
"혼잡히 책보고 시간 보내기는 좋을 것 같아요... 입구가 찾기 어려웠어요... 사장님께서 친절하게 알려 주시었네요... 리뷰 이벤트로 빵도 챙겨 주셨네요","베이커리빵(긍정), 공간편의시설(부정), 서비스(긍정)",010000201000
"인테리어도 너무 예쁘고 음료도 맛있고 디저트도 대박이에요..!!","커피음료(긍정), 기타디저트(긍정), 분위기감성(긍정)",100001010000
"아기랑 같이 다녀왔어요 예쁜 칫솔 득템했네요","대상 없음(기타 굿즈)",000000000000
"베이글의 크기가 크고 떼깔이 미쳤어요,,! 바질토마토 베이글 추천해요... 인테리어가 깔끔하고 이뻐서 보는 눈이 행복합니다!","베이커리빵(긍정), 분위기감성(긍정)",010000010000
"매장도 넓고 깔금해서 좋았고 직원분도 친절해서 좋았숩니다","공간편의시설(긍정), 서비스(긍정)",000000101000
"북카페라서 독서에 집중할수 있어서 너무 좋네요) 성수동에 이런곳이 있을줄은 생각도 못했는데","공간편의시설(긍정), 분위기감성(긍정)",000000110000
"커알못이라 산미있는 커피라 슬프네요. 그래도 분위기나 직원분들도 너무친절해요.","커피음료(부정), 분위기감성(긍정), 서비스(긍정)",200000011000
"조명도 좋고 음악 선곡도 딱 대화하는데 방해 안될정도로 좋았습니다! 디저트랑 커피도 맛있어요!","커피음료(긍정), 기타디저트(긍정), 분위기감성(긍정)",100001010000
"6시 넘어서 왔는데 메뉴 몇개 품절되어 있긴 했지만 맛있습니다!!","대상 모호(긍정), 혼잡도_웨이팅(부정)",000000000002
"이색 데이트 너무 좋았어요 사장님도 친절하시고 직접 만든 휘낭시에도 넘 맛있어요!!!!","쿠키구움과자(긍정), 서비스(긍정)",000100001000
"여기 진짜 예쁘고 멋있어요... 진짜 감성 젤라또 집","기타디저트(긍정), 분위기감성(긍정)",000001010000
"오랜만에 다시 왔는데 메뉴도 더 다양해지고 음료도 맛있었습니다! 실내외 조경이 너무 예뻐서","커피음료(긍정), 분위기감성(긍정)",100000010000
"좌석도 많고 무엇보다 커피 디저트 둘 다 맛있어서 재방문하고싶은 곳이에요!","커피음료(긍정), 기타디저트(긍정), 공간편의시설(긍정)",100001100000
"크로플 달달하고 맛있어요맛있는 커피랑 달달한 디저트덕에 힐링하고갑니당","커피음료(긍정), 기타디저트(긍정)",100001000000
"넓고 쾌적해서 좋았습니다. 평일 오후에 방문했는데 사람이 엄청 많지 않아서 작업 하시는 분들도 있었고, 매장 내부에 큰 식물들이 있어 좋았어요.","공간편의시설(긍정), 혼잡도_웨이팅(긍정)",000000100001
"자리마다 넓직하게 되어있어서 좋아요!! 창문도 통유리로 되어있어서 탁 트인 느낌... 커피도 맛있고","커피음료(긍정), 공간편의시설(긍정), 분위기감성(긍정)",100000110000
