text,aspect,classification_method
"🩶
높은 고층에서 바라보는 뷰, 탁 트인 키친(?)",Vibe,keyword
"작업대, 분위기도 좋고.",Vibe,keyword
작업하기 좋을 거 같아요,"Service, Dessert/Bakery, Coffee/Drink",keyword
집중이 잘 될 것 같은 !!,Dessert/Bakery,keyword
"네이버 쿠폰 할인도 받고 카톡 친구 추가해서 티백도 받았는데
사장님들 너무 친절하시구 차 깔끔하게 맛있었고 음료도 맛있고 말차팥 바스크치즈케이크도 너무 맛있었어요 ㅠㅠ","Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
차는 말씀드리면 한 번 더 우려주셔요,Coffee/Drink,keyword
"🫖🤎
그리고 자몽쉐이큰 티 꼭 드셔보세요.",Coffee/Drink,keyword
찐이고 건강한 자몽에이드맛 !?,"Dessert/Bakery, Coffee/Drink",keyword
시럽 싫어하는 저는 정말 좋아했고 밀크티도 달달하지 않고 딱 정말 밀크티였어요♡,"Dessert/Bakery, Coffee/Drink",keyword
오와 성수 한 복판에 이런 공간이 있는게 넘 좋았어요!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
바쁜 일상 속에서 차 한 잔 느긋하게 즐길 수 있어 좋았습니다,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
"쑥차/쑥라떼/말차팥 치즈케이크 주문했어요!
-","Service, Dessert/Bakery, Coffee/Drink",keyword
"쑥향이 향긋하니 너무 좋았던 쑥차
- 달콤 찐한 쑥라떼
- 말차의 달큰한 맛과 팥이 잘 어울리는 치즈케이크","Dessert/Bakery, Coffee/Drink",keyword
쑥차는 향이 정말 좋아서 두 번 우려먹었어요,Coffee/Drink,keyword
분위기가 마음에 들어 다시 찾은 맥파이앤타이거 성수티룸!,"Service, Vibe, Coffee/Drink",keyword
분위기가 도란도란 대화 나누기 좋아서 요즘처럼 추운 날씨에 따듯한 차나 맛있는 음료 마시면서 쉬기 좋아요!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
조용하고 나만의 시간 보내기 최고,"Dessert/Bakery, Coffee/Drink",keyword
다른 찻집보다 차 종류가 다양해서 좋아요,"Dessert/Bakery, Coffee/Drink",keyword
어두울땐 분위기가 좋고 전체적으로 차분하고 조용해 편안한 곳이에요,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
차 마시며 차분히 홀로 책 읽기 참 좋은 곳입니다,"Vibe, Coffee/Drink",keyword
백차를 선택했는데 찻잎 향도 맛도 좋습니다,"Service, Dessert/Bakery, Coffee/Drink",keyword
호지차 구움 찰떡도 너무 달지 않아 차와 함께 잘 어울렸네요^^,Coffee/Drink,keyword
분위기 굿굿,Vibe,keyword
성수에서 이런 시티뷰를 보며 차를 마실 수 있다니!,"Vibe, Coffee/Drink",keyword
"고급스런 깔끔한 분위기에, 직접 차를 내리는 모습을 볼 수 있고, 디저트가 너무 맛있어요!","Dessert/Bakery, Coffee/Drink, Vibe",keyword
(말차팥치즈케이크 강추!),Dessert/Bakery,keyword
"식사 후, 분위기있게 여기서 차 한잔 하시면 좋을 것 같아요 :)","Dessert/Bakery, Coffee/Drink, Vibe",keyword
"개성있는 메뉴, 쾌적한 공간, 친절함","Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
모든 것을 갖춘 곳.,Vibe,keyword
모던한 인테리어에 성수동이 내려다보이는 뷰도 좋고 무엇보다 차랑 디저트가 맛있어요.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
"차는 한 번 더 리필해주셔서 더욱 좋았고, 찻잎이랑 티백 구매도 가능해요.","Dessert/Bakery, Coffee/Drink, Price",keyword
커피숍 아니고 찻집이라 궁금해하면서 갔는데 음료랑 베이커리가 진짜 너무 맛있더라구여!,"Dessert/Bakery, Coffee/Drink",keyword
"쑥말차아포가또 추천추천또추천
쑥라떼도 맛있어요",Vibe,keyword
카페인없어서 딱이었어요,Coffee/Drink,keyword
목련현미녹차는 녹차특유의 씁쓸함이 적고 속이 편안하더라고요,"Dessert/Bakery, Coffee/Drink",keyword
구움찰떡두 음료두 정말 맛있어요,Coffee/Drink,keyword
"🥹
말차 아포가토가 넘 궁금해서 먹어봤는데 정말 맛있게 진해요.","Dessert/Bakery, Coffee/Drink",keyword
치즈케이크를 먹을까 구움,"Dessert/Bakery, Coffee/Drink",keyword
과자를 먹을까 고민하다 구움찰떡으로 시켰는데 보이숙차랑 넘 잘어울렸어요.,"Dessert/Bakery, Coffee/Drink",keyword
통창밖엔 성수가 가득 보여서 뷰도 넘 좋았어요,"Vibe, Coffee/Drink",keyword
언제와도 참 좋아요,"Dessert/Bakery, Coffee/Drink",keyword
커피 못마시는 사람에겐 최고의 카페!!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
차도 맛있고 구움,Coffee/Drink,keyword
과자도 정말 맛있어요!,Dessert/Bakery,keyword
따뜻하게 데워주시더라구요~~,"Dessert/Bakery, Coffee/Drink",keyword
자리 넓게 쓰라고 큰 테이블로 옮겨주신게 참 감동이었어요.,"Service, Vibe, Coffee/Drink",keyword
커피가 없고 차만 있는 독특한 카페.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
옷가게 5층에 있어서 처음 찾아오면 헤맬듯.,"Vibe, Coffee/Drink",keyword
루프탑도 있어서 답답하지않게 얘기하기 좋았다.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
차 종류는 한번 더 리필이 가능한데 그래서 그런가,"Dessert/Bakery, Coffee/Drink, Price",keyword
디저트는 가격에 비해 빈정상하는 크기..,"Dessert/Bakery, Price",keyword
"따뜻한 차를 마시며 야경까지 보고, 생각정리도 할 수 있는 곳이었어요~","Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
복잡한 성수에서 여유로움을 느낄 수 있는 공간이라 색다른 즐거움이었습니다!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
조용해서 좋아요,"Dessert/Bakery, Coffee/Drink",keyword
친절하고 깔끔하면서 멋스런 분위기가 인상적이에요.,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
"크리스탈펀치 수정과칵테일 시켰는데
상큼함보다는 무거운 느낌 알콜이 꽤 쎄요
화장실은 비행기화장실처럼 해놓음","Dessert/Bakery, Coffee/Drink, Vibe",keyword
"분위기는 깔끔하고 좋지만 난 모르겠다
사람 많아서 대기하고 들어오는듯","Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
친절하시궁.,"Service, Dessert/Bakery, Coffee/Drink",keyword
차도맛있공.,Coffee/Drink,keyword
사색하기 좋은공간,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
차에 익숙하지 않은 사람이라도 부담없이 방문할 수 있는 티룸입니다.,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
"건물의 높은 층에 위치한 만큼, 통유리 창으로 보는 경관은 감탄을 자아냅니다.","Position, Dessert/Bakery, Coffee/Drink, Vibe",keyword
어쩌면 좋은 차가 익숙하기 그지없는 도심을 근사한 경치로 바꾼 것일지도요.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
세심하게 우려진 보이숙차에서는 세월을 머금은 목향과 곡물의 맛이 납니다.,"Dessert/Bakery, Coffee/Drink",keyword
"생차보다도 더욱 진한 편이니 다소 호불호를 탈 순 있겠으나, 충분히 시도해볼 만한 가치를 지니고 있어요.","Price, Dessert/Bakery, Coffee/Drink, Vibe",keyword
저는 차를 따로 구매했을 정도로 좋았어요.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
여기에 호지차 구움찰떡은 소박하지만 재미난 다과입니다.,"Dessert/Bakery, Coffee/Drink",keyword
팥맛을 좋아하신다면 곁들여보셔도 괜찮을 것 같아요.,"Dessert/Bakery, Coffee/Drink",keyword
차를 다 마시고나면 한 번 더 우려주시려 오시는데 거절하지 마세요.,"Dessert/Bakery, Coffee/Drink",keyword
"첫 물과 두 번째 물은 비슷하지만 분명히 다른, 다채로운 만남의 연장선이니까요.","Dessert/Bakery, Coffee/Drink",keyword
공간뷰도 좋고 디저트도 맛있고 좋아요!!!!,"Dessert/Bakery, Vibe",keyword
처음 방문했는데 다음에 무조건 또 갈 것 같습니당,"Service, Dessert/Bakery, Coffee/Drink",keyword
티룸 넘 좋은것같아요!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
티도 맛있고 굿입니다,Coffee/Drink,keyword
신사에서 좋은 기억이 있어 성수에도 다녀왔습니다.,"Vibe, Coffee/Drink",keyword
성수역 3번출구 도보 2분거내 있어 찾아가기 너무 쉽습니다,"Position, Vibe, Coffee/Drink",keyword
그리고 성수는 통창뷰가 너무 멋있어서 해질녘쯤 가서 밝은 모습과 해지는 모습을 함께 보면 그저 힐링이 따로 없는 곳입니다,Vibe,keyword
뷰를 보며 따뜻한 차 한잔과 디저트를 함께하면 기분이 절로 좋아집니다.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
차도 향기롭게 블랜딩하고 직접 우려서 내어주시기에 이미 완벽한 차 향에 홀릭 됩니다,"Dessert/Bakery, Coffee/Drink",keyword
자리에 차와 디저트를 내어주신 후 메뉴 설명까지 꼼꼼하게 해주셔서 대접받는 기분이였습니다.,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
성수에 뷰 좋은 따뜻한 카페가 생겨서 너무 좋네요,"Dessert/Bakery, Coffee/Drink",keyword
통창뷰라 시원하고 차 즐기기 좋았어요^^,"Dessert/Bakery, Coffee/Drink",keyword
신사점은 약간 오마카세 느낌이 나고 성수점은 카페 느낌이 나요.,Coffee/Drink,keyword
편하게 얘기할 수 있고 성수동을 내려다볼 수 있는 통유리창이 있어서 시원시원하고 좋아요,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
친절한 서비스와 쾌적한 공간!,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
분위기 좋은 공간에서 맛있는 차와 디저트 맛있게 먹었습니다.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
티도 무겁지 않고 캐쥬얼한 음료가 많아서 마음에 들어요!!,"Dessert/Bakery, Coffee/Drink",keyword
여기 처음 와보는데 티도 우려먹고 맛있는 디저트도 있어서 너무 힐링되더라구요,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
"🌿
대화하기도 편하고 통창이여서 편하더라구요","Dessert/Bakery, Coffee/Drink",keyword
"🫶🏻
다음에 또와야겠어요","Dessert/Bakery, Coffee/Drink",keyword
"커피먹고 싶어서 찾아간 카페였는데 티룸이였더라구요,,ㅎㅎㅎㅎ","Vibe, Coffee/Drink",keyword
그럼에도 밀크티 정말 맛있었고 처음먹어보는 호지차 구움찰떡도 따듯하고 맛있었습니다,Coffee/Drink,keyword
무엇보다 분위기가 좋았어요!,Vibe,keyword
신사점도 가봤는데 성수점은 좀 더 트렌디하고 개방적이예요,"Dessert/Bakery, Coffee/Drink",keyword
🥹 역시나 분위기가 너무 좋고 차랑 디저트가 정말 맛있어요!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
대접받는 기분이 들어서 넘 좋더라구요!,Vibe,keyword
티마스터님들이 티를 정말 잘 우려주세요!,Coffee/Drink,keyword
기분좋게 즐기고 갑니다,Vibe,keyword
"맥파이앤타이거 쇼룸이 생긴건 알고 있었는데, 쇼룸은 처음이네요!","Vibe, Coffee/Drink",keyword
어두운 밤의 쇼룸 분위기 너무 좋았어요.,Vibe,keyword
다른 카페에서 팔 때도 맛있게 먹었지만 직접 와서 먹으니 더 맛있는 것 같은 느낌적인 느낌...,"Dessert/Bakery, Coffee/Drink",keyword
분위기 너무 좋아요!!!!,Vibe,keyword
"은은한 꿀맛이 가득한 차 한모금하기 좋아요,🍵
말차와 팥이 들어있는 바스크치즈케이크와 잘 어울리고 맛있오요","Dessert/Bakery, Coffee/Drink, Vibe",keyword
"달콤하고 달달한 꿀향에 묵직한 바닐라빈 맛과 향긋한 장미향이 가득한 백차가 정말 맛있어요,🤍","Dessert/Bakery, Coffee/Drink",keyword
바치케와 티가 잘 어울려서 또 방문하려구요!,"Service, Dessert/Bakery, Coffee/Drink",keyword
내외부도 너무 이쁜 티룸이에요,"Vibe, Coffee/Drink",keyword
통창으로 넓고 시원한 분위기에 따뜻한 차 마시니까 너무 좋아요!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
"바자리, 창가자리 다른 분위기로 너무 좋은 것 같아요","Dessert/Bakery, Vibe",keyword
티룸이라는 이름에 걸맞게 티가 정말 맛있었던 곳이었습니다.,"Vibe, Coffee/Drink",keyword
특히 쑥차는 쓴맛 없이 고소한 향만 느껴지는게 너무 좋았습니다,"Dessert/Bakery, Coffee/Drink",keyword
"성수에서 젤 깔끔하고 탁트인 카페라고 장담할 수 있습니다,,👀 직원분들도 넘넘 친절하시구 쑥말차 아포가토!","Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
"미쳐써요,,✨ 씁쓸하고 진한 쑥 말차에 아큼은 절대 못 참지요","Service, Dessert/Bakery, Coffee/Drink",keyword
💚 바스크치케는 세상 크리미하고 사워크림이랑 같이 먹으면 또 다른 별미예요!,Coffee/Drink,keyword
차는 아이스로 한잔 먼저 먹었는데 나중에 직원분이 한번 더 우려드리는지 여쭤봐주셔서 따듯하게도 마셨습니다,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
여기도 이제는 단골이라고 말할 수 있지 않을까… 다른 사람들한테도 소개하고 다님,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
너무 좋아서… 직원분들 너무 친절하고 좋아요…,"Service, Dessert/Bakery, Coffee/Drink",keyword
층고가 높고 통유리창이 있어 고층 뷰를 감상하기에 좋습니다,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
주변 시티뷰를 감상할 수 있으며 소란스럽지 않은 분위기여서 음료 한잔하며 대화하기 좋았어요!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
창가 자리가 만석이어서 창가에는 앉지 못했지만 바 자리도 충분히 분위기 괜찮았고 주문했던 티 칵테일도 좋았어요,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
밀크티 시켰는데 고소하고 맛있었습니다!,Coffee/Drink,keyword
"차분하니 좋고, 혼카 혹은 카공하러 오기도 괜찮은 분위기예요","Dessert/Bakery, Coffee/Drink, Vibe",keyword
쑥차 먹고왔어요.,"Dessert/Bakery, Coffee/Drink",keyword
"차 향도 맡을 수 있고,
다 마시면 한 번 더 우려주셔서 너무 좋아요!","Vibe, Coffee/Drink",keyword
여기 몇번을 와도 좋은데 거의 모든 자리에 콘센트 있다고도 말했나요?,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
차가 정말 맛있어요.,Coffee/Drink,keyword
"차 제대로 맛 볼 수 있는 곳이 적은데, 제대로 하는 맛있는 곳을 찾았어요.","Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
파운드 케이크도 퀄리티가 아주 좋습니다.,Dessert/Bakery,keyword
"공장에서 떼오는 그런 느낌도 아니고, 싸구려 쇼트닝을 쓴 느낌도 아니에요!","Dessert/Bakery, Coffee/Drink",keyword
"제대로 잘 만들어 느끼하지 않고 촉촉하고 고급스러운 맛에, 홍차 맛도 잘 납니다.","Dessert/Bakery, Coffee/Drink, Vibe",keyword
매장이 널찍하고 아주 쾌적하고 깨끗해요.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
인테리어도 너무 예쁘고 편안해서 기분 좋아져요.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
직원분들도 너무 친절하시고 좋으세요.,"Service, Dessert/Bakery, Coffee/Drink",keyword
잘 먹고 갑니다,Coffee/Drink,keyword
커피만 마시는 건 질려서 도심속에서 시티뷰를 즐기며 차를 마실 수 있다는 성수 맥파이앤타이거 성수티점에 방문했어요,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
💚 핫여름이라 조금만 밖에 돌아댕겨도 더워서 힘이 빠지는데 맥파이앤타이거에서 시원한 차를 마시니까 기력이 보충되고 힐링이 되더라구요~,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
차뿐만 아니라 디저트도 넘 맛있고 분위기도 좋아서 대화하기도 너무 좋은 힐링공간이에요,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
"😊
차는 다마시면 한번 더 우려서 타주기 때문에 든든하게 차를 먹을 수 있다는 점도 좋았어요","Dessert/Bakery, Coffee/Drink, Vibe",keyword
"<내돈내산>정말 차한잔의여유,,힐링 그게뭔지 느낄수있게해주는곳🤍성수에 소중한사람데려가면 무조건여기입니다","Price, Dessert/Bakery, Coffee/Drink, Vibe",keyword
차가깊은맛이나고 두번 우려먹을수도있구 야경대박적 그리고아주친절하시고 분위기가 차분합니다,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
"아
나만알고싶은곳인데 널리알려졌음좋겟는그런곳💜","Vibe, Coffee/Drink",keyword
차가 정말 맛있어요,Coffee/Drink,keyword
특색있고 맛있는 디저트도 있어요,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
인테리어가 예뻐요,Vibe,keyword
"탁 트인 공간에 은은하게 퍼지는 차의 향
기분이 좋아져요 :)","Dessert/Bakery, Coffee/Drink, Vibe",keyword
"보이숙차랑 현미목련차, 말차&팥 치즈케잌까지
맛있게 먹고 갑니다!","Dessert/Bakery, Coffee/Drink",keyword
"요즘 핫플로 부상 중이라 그래서 더 붐비기 전에 갔는데, 생각보다 이미 손님들이 많았습니다.",Vibe,keyword
"통창이라 분위기 너무 좋고, 직원분들도 엄청 친절하세요.","Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
"카페인 티랑 디카페인 티 나눠져 있고, 잘 모를 경우 직원분이 잘 설명해 주시고 추천도 해 주세요.","Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
홍차보다는 다른 차 종류가 더 많았어요.,Coffee/Drink,keyword
카카오톡 플러스친구 맺고 티백 받는 이벤트도 하고 있으니 꼭 참여해 보세요,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
"사실 작업하기 좋은 카페라고 해서 갔는데, 테이블이 넓고 전망이 좋아서 그런 이야기가 있었나 봐요!","Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
"하지만 작업하기에는 테이블이 좀 낮고, 매장이 큰 편은 아니라서 간단한 작업 정도만 가능할 것 같습니다.","Vibe, Service, Coffee/Drink, Price, Dessert/Bakery",keyword
분위기도 너무 좋고 바스크치즈 진짜 맛있어요!,"Dessert/Bakery, Vibe",keyword
성수동 가면 또 가고 싶은 곳이에요ㅎㅎ,Vibe,keyword
편안하게 티타임 갖기에 좋은 곳입니다.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
뷰도 좋아서 힐링할 수 있는 곳이에요.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
"[맥파이앤타이거 성수티룸] 
카페 천국 성수에 흔하지 않은 티룸.","Vibe, Coffee/Drink",keyword
"전문적인 티룸이라 맛과 향이 훌륭하고
다양한 차와 차 바리에이션 음료를 
맛볼수 있다.","Dessert/Bakery, Coffee/Drink, Vibe",keyword
"차를 두 번 우려 주는 것이 
매우 매력적이었습니다.",Coffee/Drink,keyword
"한 잔은 따뜻하게, 다른 잔은 차갑게 즐길 수 있어 
다른 향과 맛을 즐길 수 있습니다.","Dessert/Bakery, Coffee/Drink, Vibe",keyword
"공간 여기저기 잘 꾸며져 있어 구경하는 
재미가 있는데,루프탑도 있어 이용가능하니 
또다른 분위기를 느낄 수도 있습니다.","Price, Dessert/Bakery, Coffee/Drink, Vibe",keyword
"통창이라 흔하지 않은 시티뷰를 
맘껏 누릴수 있습니다.","Dessert/Bakery, Coffee/Drink, Vibe",keyword
신사티룸과는 또다른 멋이 있는 곳이었습니다.,"Vibe, Coffee/Drink",keyword
차 향이 깊고 맛이 깔끔했어요!,"Dessert/Bakery, Coffee/Drink",keyword
가격대는 있지만 그만큼 가치가 있다고 생각해서 다시 오고 싶은 곳이에요,"Price, Dessert/Bakery, Coffee/Drink, Vibe",keyword
차를 한 번 더 우려줘서 좋아요!,Coffee/Drink,keyword
(한 번 우리면 두 잔 나와요,Coffee/Drink,keyword
"따뜻한 차 한잔 하기 너무 좋은 곳인데, 오늘은 아이스 밀크티랑 녹차라떼를 마셨어요!","Dessert/Bakery, Coffee/Drink, Vibe",keyword
"적당히 달달한 밀크티, 말차라떼에 쑥 치즈케이크도   쫀쫀하고 밀도높은 식감에 맛나요!","Dessert/Bakery, Coffee/Drink, Vibe",keyword
고층에 통유리로 된 공감이라 답답함 없고 층고도 높고 바 테이블도 넓어서 아늑하고 편안합니다!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
다음엔 따뜻한 티로 도전해야겠어요!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
인테리어도 좋고 직원분들도 모두 친절해요,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
차도 맛있고 동네에 이런 곳이 있었다니 재방문 의사  10000%,"Service, Vibe, Coffee/Drink",keyword
"#바스크치즈케이크
입 안에서 녹는 치즈의 구수함과 살짝 탄 느낌의 허스키함이 조화롭게 어우러져서 너무 맛있어요.","Dessert/Bakery, Coffee/Drink",keyword
케이크도 두툼하여 농후한 맛이 차에 어우려져 먹을 수 있는 다과로 훌륭하네요✨,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
아늑하고 세련된 인테리어와 친절한 분위기가 하이엔드인상을 강하게 남겼습니다.,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
창가 자리에 앉아서 성수동의 풍경을 감상하면서 차를 마시면 시간 가는 줄 모르겠네요!,"Service, Dessert/Bakery, Coffee/Drink",keyword
가까운 시일내 제방문🤍,Service,keyword
시티뷰가 너무 멋진곳이에요^^,Vibe,keyword
조용한 분위기에서 차한잔하기 너무 너무 좋더라구요~~,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
차도 한번 더 우려주셔서 너무 좋았어요,Coffee/Drink,keyword
성수에 이런 찻집이 있는 줄은 생각못했어요..,"Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
"차를 좋아해서 동네마다 한 곳씩은 알고 있는데 성수역 근처 쾌적한 공간에 뷰도 너무 이쁜 찻집ㅠㅠ
차도 맛있지만…여기 디저트에도 진심인가요ㅜ","Dessert/Bakery, Coffee/Drink, Vibe",keyword
"제가 가고싶어서 가자했는데 친구가 또 오고싶다구,,","Dessert/Bakery, Coffee/Drink, Vibe",keyword
서울에 이런 분위기 있는 티룸이 있는지 몰랐어요,"Vibe, Coffee/Drink",keyword
"🍵
운치있고 차도 맛있어서 자주 가게 될것 같아요~~","Dessert/Bakery, Coffee/Drink, Vibe",keyword
친절하시고 뷰도 좋아,"Service, Dessert/Bakery, Coffee/Drink",keyword
기분좋은 방문이었습니다,"Service, Vibe",keyword
"🫶🏻✨
대화하기도 너무 조아여 ㅋㅋㅋㅋㅋ","Dessert/Bakery, Coffee/Drink",keyword
고즈넉하니 좋아요,"Dessert/Bakery, Coffee/Drink",keyword
소개팅이나 데이트 장소로 좋음,Vibe,keyword
"재방문하면서 보였던 것들 👀
낙선재의 월문처럼 '육각형'의 한옥미
테이블 바, 창문, 그리고, 서랍장 손잡이로 시선이
고즈넉하면서도 차분한 분위기가 안에서 바깥으로
이번에는 바에서 쑥차를 마셨는데, 향긋함이 한가득
몸이 따뜻해지는 차 한모금에 걱정거리가 녹아내리는
다음에는 오픈한 루프탑에서 시원한 바람과 차온 예정 :)","Service, Dessert/Bakery, Coffee/Drink, Vibe",keyword
분위기 조용하고 좋아요,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
과자도 맛있어요,Dessert/Bakery,keyword
조용하고 성수에서 이런 카페 드문데 정말 좋았어요!,"Dessert/Bakery, Coffee/Drink",keyword
사람많은 성수동에서 조용하게 차마시고싶을때 옵니다.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
차도 진하고맛있어요!,Coffee/Drink,keyword
"조용하게 책을 읽기에도, 두런두런 대화를 나누기에도 좋습니다.","Dessert/Bakery, Coffee/Drink",keyword
차가 주는 여유는 번잡한 마음을 내려놓기애 참 좋은 것 같아요.,"Dessert/Bakery, Coffee/Drink",keyword
북적임과 빠르게 흐르는 시간 사이에서 느긋하게 차를 즐기기에 좋은 장소네요.,"Dessert/Bakery, Coffee/Drink",keyword
저녁먹고 차 마시고 싶어,Coffee/Drink,keyword
검색해서 갔어요.,"Dessert/Bakery, Coffee/Drink",keyword
분위기 좋은 곳에서 진정한 티타임~ 종류도 다양하고 차 추천해주셔서 따뜻하게 잘 쉬다 간 느낌입니다.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
차 마다 설명된 카드가 있어서 더 좋았어요.,"Service, Vibe, Coffee/Drink",keyword
카톡 친구추가하고 티백 하나 겟!,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
뷰가 좋고 차도 함께 할 수도 있고 간단한 티푸드도 맛있는 곳입니다.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
티 종류가 많고 맛잇어요!,Coffee/Drink,keyword
차 한잔에 수다수다하기도 좋고 독서하기도 좋아요,"Dessert/Bakery, Coffee/Drink",keyword
분위기가 좋고 음료도 맛있어요.,"Vibe, Coffee/Drink",keyword
신사티룸도 궁금하네요.,"Vibe, Coffee/Drink",keyword
직원분들 어케 이렇게 친절하시져..?,"Service, Dessert/Bakery, Coffee/Drink",keyword
차도 맛있고 분위기도 좋고 디저트도 맛있다니…?,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
24시간 해주세여 ㅠㅅㅠ,"Dessert/Bakery, Coffee/Drink",keyword
완전 친절하심…,"Service, Dessert/Bakery, Coffee/Drink",keyword
커피 진짜 맛있고 친절해요!!,"Service, Dessert/Bakery, Coffee/Drink",keyword
꿀라떼 맛있어요,Coffee/Drink,keyword
점심에 힐링 필요하면 가끔 와서 쉬고갑니다.,"Dessert/Bakery, Coffee/Drink",keyword
루프탑도 있어서 좋아요.,"Vibe, Coffee/Drink",keyword
가격은 비싸지만 그만큼 힐링 얻고 갈 수 있는것 같아요.,"Price, Dessert/Bakery, Coffee/Drink, Vibe",keyword
커피대신 차 마시러 왔는데 참 괜찮았어요~,"Dessert/Bakery, Coffee/Drink",keyword
또 오고싶은 곳이에요:),"Dessert/Bakery, Coffee/Drink, Vibe",keyword
조용하게 차를 즐기고 싶을때 가면 좋을 것 같아요.,"Dessert/Bakery, Coffee/Drink",keyword
차도 은은하고 특히 말차 아포가토는 티팟에 나오는데 쑥맛이 강하게 돌아서 넘맛있었어요~,"Dessert/Bakery, Coffee/Drink",keyword
정말 깔끔한 느낌의 찻집!,"Dessert/Bakery, Coffee/Drink",keyword
차 종류가 많아서 좋았고 디저트도 맛있어요~,"Dessert/Bakery, Coffee/Drink",keyword
혼자와도 좋고 여럿이서 와도 좋을 곳이에요.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
다른 카페에 비해 상대적으로 고층에 있어서 뷰도 좋았습니다,"Vibe, Coffee/Drink",keyword
분위기가 너무 좋았어요!,Vibe,keyword
차도 한번더 리필돼서 좋았습니당,Coffee/Drink,keyword
세 번째 방문입니다.,Service,keyword
과자는 처음 주문해봤는데 함께 나온 차와 잘 어울리는 조합이라 다음에 방문하게된다면 또 주문할 것 같습니다.,"Service, Dessert/Bakery, Coffee/Drink",keyword
"낮에 한 번, 밤에 두 번 방문했는데 낮과 밤 모두 좋습니다.","Service, Dessert/Bakery, Coffee/Drink",keyword
쑥 말차 아포카토 신기하고 맛있어요.,"Dessert/Bakery, Coffee/Drink",keyword
공간도 트여있고 예뻐서 좋은데 환기가 잘 됐으면 좋겠어요.,"Vibe, Coffee/Drink",keyword
주말인데 사람들이 꽤 있었어요.,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
메인 동그란 좌석은 금방 차네요 ㅎㅎ,Coffee/Drink,keyword
분위기도 편안하고 힐링됩니당,"Dessert/Bakery, Coffee/Drink, Vibe",keyword
